CODE,DESCRIPTION,IP_SRVC_CTG_SHORT,OP_SRVC_CTG_SHORT,PH_SRVC_CTG_SHORT
90625,Administered Drugs & Immunizations,,DRUG,DRUG
90630,Administered Drugs & Immunizations,,DRUG,DRUG
90632,Administered Drugs & Immunizations,,DRUG,DRUG
90633,Administered Drugs & Immunizations,,DRUG,DRUG
90634,Administered Drugs & Immunizations,,DRUG,DRUG
90636,Administered Drugs & Immunizations,,DRUG,DRUG
90644,Administered Drugs & Immunizations,,DRUG,DRUG
90645,Administered Drugs & Immunizations,,DRUG,DRUG
90646,Administered Drugs & Immunizations,,DRUG,DRUG
90647,Administered Drugs & Immunizations,,DRUG,DRUG
90648,Administered Drugs & Immunizations,,DRUG,DRUG
90649,Administered Drugs & Immunizations,,DRUG,DRUG
90650,Administered Drugs & Immunizations,,DRUG,DRUG
90651,Administered Drugs & Immunizations,,DRUG,DRUG
90653,Administered Drugs & Immunizations,,DRUG,DRUG
90654,Administered Drugs & Immunizations,,DRUG,DRUG
90655,Administered Drugs & Immunizations,,DRUG,DRUG
90656,Administered Drugs & Immunizations,,DRUG,DRUG
90657,Administered Drugs & Immunizations,,DRUG,DRUG
90658,Administered Drugs & Immunizations,,DRUG,DRUG
90659,Administered Drugs & Immunizations,,DRUG,DRUG
90660,Administered Drugs & Immunizations,,DRUG,DRUG
90661,Administered Drugs & Immunizations,,DRUG,DRUG
90662,Administered Drugs & Immunizations,,DRUG,DRUG
90663,Administered Drugs & Immunizations,,DRUG,DRUG
90664,Administered Drugs & Immunizations,,DRUG,DRUG
90665,Administered Drugs & Immunizations,,DRUG,DRUG
90666,Administered Drugs & Immunizations,,DRUG,DRUG
90667,Administered Drugs & Immunizations,,DRUG,DRUG
90668,Administered Drugs & Immunizations,,DRUG,DRUG
90669,Administered Drugs & Immunizations,,DRUG,DRUG
90670,Administered Drugs & Immunizations,,DRUG,DRUG
90672,Administered Drugs & Immunizations,,DRUG,DRUG
90673,Administered Drugs & Immunizations,,DRUG,DRUG
90674,Administered Drugs & Immunizations,,DRUG,DRUG
90675,Administered Drugs & Immunizations,,DRUG,DRUG
90676,Administered Drugs & Immunizations,,DRUG,DRUG
90680,Administered Drugs & Immunizations,,DRUG,DRUG
90681,Administered Drugs & Immunizations,,DRUG,DRUG
90682,Administered Drugs & Immunizations,,DRUG,DRUG
90685,Administered Drugs & Immunizations,,DRUG,DRUG
90686,Administered Drugs & Immunizations,,DRUG,DRUG
90687,Administered Drugs & Immunizations,,DRUG,DRUG
90688,Administered Drugs & Immunizations,,DRUG,DRUG
90690,Administered Drugs & Immunizations,,DRUG,DRUG
90691,Administered Drugs & Immunizations,,DRUG,DRUG
90692,Administered Drugs & Immunizations,,DRUG,DRUG
90693,Administered Drugs & Immunizations,,DRUG,DRUG
90696,Administered Drugs & Immunizations,,DRUG,DRUG
90697,Administered Drugs & Immunizations,,DRUG,DRUG
90698,Administered Drugs & Immunizations,,DRUG,DRUG
90700,Administered Drugs & Immunizations,,DRUG,DRUG
90701,Administered Drugs & Immunizations,,DRUG,DRUG
90702,Administered Drugs & Immunizations,,DRUG,DRUG
90703,Administered Drugs & Immunizations,,DRUG,DRUG
90704,Administered Drugs & Immunizations,,DRUG,DRUG
90705,Administered Drugs & Immunizations,,DRUG,DRUG
90706,Administered Drugs & Immunizations,,DRUG,DRUG
90707,Administered Drugs & Immunizations,,DRUG,DRUG
90709,Administered Drugs & Immunizations,,DRUG,DRUG
90710,Administered Drugs & Immunizations,,DRUG,DRUG
90711,Administered Drugs & Immunizations,,DRUG,DRUG
90712,Administered Drugs & Immunizations,,DRUG,DRUG
90713,Administered Drugs & Immunizations,,DRUG,DRUG
90714,Administered Drugs & Immunizations,,DRUG,DRUG
90715,Administered Drugs & Immunizations,,DRUG,DRUG
90716,Administered Drugs & Immunizations,,DRUG,DRUG
90717,Administered Drugs & Immunizations,,DRUG,DRUG
90718,Administered Drugs & Immunizations,,DRUG,DRUG
90719,Administered Drugs & Immunizations,,DRUG,DRUG
90720,Administered Drugs & Immunizations,,DRUG,DRUG
90721,Administered Drugs & Immunizations,,DRUG,DRUG
90723,Administered Drugs & Immunizations,,DRUG,DRUG
90725,Administered Drugs & Immunizations,,DRUG,DRUG
90730,Administered Drugs & Immunizations,,DRUG,DRUG
90732,Administered Drugs & Immunizations,,DRUG,DRUG
90733,Administered Drugs & Immunizations,,DRUG,DRUG
90734,Administered Drugs & Immunizations,,DRUG,DRUG
90735,Administered Drugs & Immunizations,,DRUG,DRUG
90736,Administered Drugs & Immunizations,,DRUG,DRUG
90737,Administered Drugs & Immunizations,,DRUG,DRUG
90738,Administered Drugs & Immunizations,,DRUG,DRUG
90739,Administered Drugs & Immunizations,,DRUG,DRUG
90740,Administered Drugs & Immunizations,,DRUG,DRUG
90741,Administered Drugs & Immunizations,,DRUG,DRUG
90742,Administered Drugs & Immunizations,,DRUG,DRUG
90743,Administered Drugs & Immunizations,,DRUG,DRUG
90744,Administered Drugs & Immunizations,,DRUG,DRUG
90746,Administered Drugs & Immunizations,,DRUG,DRUG
90747,Administered Drugs & Immunizations,,DRUG,DRUG
90748,Administered Drugs & Immunizations,,DRUG,DRUG
90749,Administered Drugs & Immunizations,,DRUG,DRUG
90750,Administered Drugs & Immunizations,,DRUG,DRUG
90756,Administered Drugs & Immunizations,,DRUG,DRUG
96377,Administered Drugs & Immunizations,,DRUG,DRUG
96400,Administered Drugs & Immunizations,,DRUG,DRUG
96408,Administered Drugs & Immunizations,,DRUG,DRUG
96542,Administered Drugs & Immunizations,,DRUG,DRUG
B4034,Administered Drugs & Immunizations,,DRUG,DRUG
B4035,Administered Drugs & Immunizations,,DRUG,DRUG
B4036,Administered Drugs & Immunizations,,DRUG,DRUG
B4081,Administered Drugs & Immunizations,,DRUG,DRUG
B4082,Administered Drugs & Immunizations,,DRUG,DRUG
B4083,Administered Drugs & Immunizations,,DRUG,DRUG
B4086,Administered Drugs & Immunizations,,DRUG,DRUG
B4087,Administered Drugs & Immunizations,,DRUG,DRUG
B4088,Administered Drugs & Immunizations,,DRUG,DRUG
B4100,Administered Drugs & Immunizations,,DRUG,DRUG
B4102,Administered Drugs & Immunizations,,DRUG,DRUG
B4103,Administered Drugs & Immunizations,,DRUG,DRUG
B4104,Administered Drugs & Immunizations,,DRUG,DRUG
B4149,Administered Drugs & Immunizations,,DRUG,DRUG
B4150,Administered Drugs & Immunizations,,DRUG,DRUG
B4152,Administered Drugs & Immunizations,,DRUG,DRUG
B4153,Administered Drugs & Immunizations,,DRUG,DRUG
B4154,Administered Drugs & Immunizations,,DRUG,DRUG
B4155,Administered Drugs & Immunizations,,DRUG,DRUG
B4156,Administered Drugs & Immunizations,,DRUG,DRUG
B4157,Administered Drugs & Immunizations,,DRUG,DRUG
B4158,Administered Drugs & Immunizations,,DRUG,DRUG
B4159,Administered Drugs & Immunizations,,DRUG,DRUG
B4160,Administered Drugs & Immunizations,,DRUG,DRUG
B4161,Administered Drugs & Immunizations,,DRUG,DRUG
B4162,Administered Drugs & Immunizations,,DRUG,DRUG
B4164,Administered Drugs & Immunizations,,DRUG,DRUG
B4168,Administered Drugs & Immunizations,,DRUG,DRUG
B4176,Administered Drugs & Immunizations,,DRUG,DRUG
B4178,Administered Drugs & Immunizations,,DRUG,DRUG
B4180,Administered Drugs & Immunizations,,DRUG,DRUG
B4185,Administered Drugs & Immunizations,,DRUG,DRUG
B4189,Administered Drugs & Immunizations,,DRUG,DRUG
B4193,Administered Drugs & Immunizations,,DRUG,DRUG
B4197,Administered Drugs & Immunizations,,DRUG,DRUG
B4199,Administered Drugs & Immunizations,,DRUG,DRUG
B4216,Administered Drugs & Immunizations,,DRUG,DRUG
B4220,Administered Drugs & Immunizations,,DRUG,DRUG
B4222,Administered Drugs & Immunizations,,DRUG,DRUG
B4224,Administered Drugs & Immunizations,,DRUG,DRUG
B5000,Administered Drugs & Immunizations,,DRUG,DRUG
B5100,Administered Drugs & Immunizations,,DRUG,DRUG
B5200,Administered Drugs & Immunizations,,DRUG,DRUG
C8957,Administered Drugs & Immunizations,,DRUG,DRUG
C9113,Administered Drugs & Immunizations,,DRUG,DRUG
C9121,Administered Drugs & Immunizations,,DRUG,DRUG
C9132,Administered Drugs & Immunizations,,DRUG,DRUG
C9133,Administered Drugs & Immunizations,,DRUG,DRUG
C9139,Administered Drugs & Immunizations,,DRUG,DRUG
C9140,Administered Drugs & Immunizations,,DRUG,DRUG
C9248,Administered Drugs & Immunizations,,DRUG,DRUG
C9250,Administered Drugs & Immunizations,,DRUG,DRUG
C9254,Administered Drugs & Immunizations,,DRUG,DRUG
C9257,Administered Drugs & Immunizations,,DRUG,DRUG
C9275,Administered Drugs & Immunizations,,DRUG,DRUG
C9279,Administered Drugs & Immunizations,,DRUG,DRUG
C9285,Administered Drugs & Immunizations,,DRUG,DRUG
C9290,Administered Drugs & Immunizations,,DRUG,DRUG
C9349,Administered Drugs & Immunizations,,DRUG,DRUG
C9352,Administered Drugs & Immunizations,,DRUG,DRUG
C9353,Administered Drugs & Immunizations,,DRUG,DRUG
C9354,Administered Drugs & Immunizations,,DRUG,DRUG
C9355,Administered Drugs & Immunizations,,DRUG,DRUG
C9356,Administered Drugs & Immunizations,,DRUG,DRUG
C9358,Administered Drugs & Immunizations,,DRUG,DRUG
C9359,Administered Drugs & Immunizations,,DRUG,DRUG
C9360,Administered Drugs & Immunizations,,DRUG,DRUG
C9361,Administered Drugs & Immunizations,,DRUG,DRUG
C9362,Administered Drugs & Immunizations,,DRUG,DRUG
C9363,Administered Drugs & Immunizations,,DRUG,DRUG
C9364,Administered Drugs & Immunizations,,DRUG,DRUG
C9367,Administered Drugs & Immunizations,,DRUG,DRUG
C9399,Administered Drugs & Immunizations,,DRUG,DRUG
C9413,Administered Drugs & Immunizations,,DRUG,DRUG
C9417,Administered Drugs & Immunizations,,DRUG,DRUG
C9447,Administered Drugs & Immunizations,,DRUG,DRUG
C9449,Administered Drugs & Immunizations,,DRUG,DRUG
C9453,Administered Drugs & Immunizations,,DRUG,DRUG
C9458,Administered Drugs & Immunizations,,DRUG,DRUG
C9460,Administered Drugs & Immunizations,,DRUG,DRUG
C9461,Administered Drugs & Immunizations,,DRUG,DRUG
C9470,Administered Drugs & Immunizations,,DRUG,DRUG
C9472,Administered Drugs & Immunizations,,DRUG,DRUG
C9473,Administered Drugs & Immunizations,,DRUG,DRUG
C9474,Administered Drugs & Immunizations,,DRUG,DRUG
C9475,Administered Drugs & Immunizations,,DRUG,DRUG
C9476,Administered Drugs & Immunizations,,DRUG,DRUG
C9477,Administered Drugs & Immunizations,,DRUG,DRUG
C9478,Administered Drugs & Immunizations,,DRUG,DRUG
C9479,Administered Drugs & Immunizations,,DRUG,DRUG
C9480,Administered Drugs & Immunizations,,DRUG,DRUG
C9481,Administered Drugs & Immunizations,,DRUG,DRUG
C9482,Administered Drugs & Immunizations,,DRUG,DRUG
C9483,Administered Drugs & Immunizations,,DRUG,DRUG
C9485,Administered Drugs & Immunizations,,DRUG,DRUG
C9487,Administered Drugs & Immunizations,,DRUG,DRUG
C9494,Administered Drugs & Immunizations,,DRUG,DRUG
C9497,Administered Drugs & Immunizations,,DRUG,DRUG
C9742,Administered Drugs & Immunizations,,DRUG,DRUG
G0008,Administered Drugs & Immunizations,,DRUG,DRUG
G0009,Administered Drugs & Immunizations,,DRUG,DRUG
G0010,Administered Drugs & Immunizations,,DRUG,DRUG
G0259,Administered Drugs & Immunizations,,DRUG,DRUG
G0260,Administered Drugs & Immunizations,,DRUG,DRUG
G0293,Administered Drugs & Immunizations,,DRUG,DRUG
G0377,Administered Drugs & Immunizations,,DRUG,DRUG
G3001,Administered Drugs & Immunizations,,DRUG,DRUG
G8450,Administered Drugs & Immunizations,,DRUG,DRUG
G8473,Administered Drugs & Immunizations,,DRUG,DRUG
G8482,Administered Drugs & Immunizations,,DRUG,DRUG
G8506,Administered Drugs & Immunizations,,DRUG,DRUG
G8579,Administered Drugs & Immunizations,,DRUG,DRUG
G8598,Administered Drugs & Immunizations,,DRUG,DRUG
G8600,Administered Drugs & Immunizations,,DRUG,DRUG
G8633,Administered Drugs & Immunizations,,DRUG,DRUG
G8696,Administered Drugs & Immunizations,,DRUG,DRUG
G8709,Administered Drugs & Immunizations,,DRUG,DRUG
G8710,Administered Drugs & Immunizations,,DRUG,DRUG
G8711,Administered Drugs & Immunizations,,DRUG,DRUG
G8809,Administered Drugs & Immunizations,,DRUG,DRUG
G8816,Administered Drugs & Immunizations,,DRUG,DRUG
G8864,Administered Drugs & Immunizations,,DRUG,DRUG
G8869,Administered Drugs & Immunizations,,DRUG,DRUG
G8916,Administered Drugs & Immunizations,,DRUG,DRUG
G8917,Administered Drugs & Immunizations,,DRUG,DRUG
G8927,Administered Drugs & Immunizations,,DRUG,DRUG
G8935,Administered Drugs & Immunizations,,DRUG,DRUG
G8967,Administered Drugs & Immunizations,,DRUG,DRUG
G9017,Administered Drugs & Immunizations,,DRUG,DRUG
G9018,Administered Drugs & Immunizations,,DRUG,DRUG
G9019,Administered Drugs & Immunizations,,DRUG,DRUG
G9020,Administered Drugs & Immunizations,,DRUG,DRUG
G9033,Administered Drugs & Immunizations,,DRUG,DRUG
G9035,Administered Drugs & Immunizations,,DRUG,DRUG
G9141,Administered Drugs & Immunizations,,DRUG,DRUG
G9189,Administered Drugs & Immunizations,,DRUG,DRUG
G9201,Administered Drugs & Immunizations,,DRUG,DRUG
G9206,Administered Drugs & Immunizations,,DRUG,DRUG
G9223,Administered Drugs & Immunizations,,DRUG,DRUG
G9245,Administered Drugs & Immunizations,,DRUG,DRUG
G9300,Administered Drugs & Immunizations,,DRUG,DRUG
G9301,Administered Drugs & Immunizations,,DRUG,DRUG
G9302,Administered Drugs & Immunizations,,DRUG,DRUG
G9315,Administered Drugs & Immunizations,,DRUG,DRUG
G9450,Administered Drugs & Immunizations,,DRUG,DRUG
G9518,Administered Drugs & Immunizations,,DRUG,DRUG
J0000,Administered Drugs & Immunizations,,DRUG,DRUG
J0120,Administered Drugs & Immunizations,,DRUG,DRUG
J0129,Administered Drugs & Immunizations,,DRUG,DRUG
J0130,Administered Drugs & Immunizations,,DRUG,DRUG
J0131,Administered Drugs & Immunizations,,DRUG,DRUG
J0132,Administered Drugs & Immunizations,,DRUG,DRUG
J0133,Administered Drugs & Immunizations,,DRUG,DRUG
J0135,Administered Drugs & Immunizations,,DRUG,DRUG
J0150,Administered Drugs & Immunizations,,DRUG,DRUG
J0151,Administered Drugs & Immunizations,,DRUG,DRUG
J0152,Administered Drugs & Immunizations,,DRUG,DRUG
J0153,Administered Drugs & Immunizations,,DRUG,DRUG
J0160,Administered Drugs & Immunizations,,DRUG,DRUG
J0170,Administered Drugs & Immunizations,,DRUG,DRUG
J0171,Administered Drugs & Immunizations,,DRUG,DRUG
J0178,Administered Drugs & Immunizations,,DRUG,DRUG
J0180,Administered Drugs & Immunizations,,DRUG,DRUG
J0190,Administered Drugs & Immunizations,,DRUG,DRUG
J0200,Administered Drugs & Immunizations,,DRUG,DRUG
J0202,Administered Drugs & Immunizations,,DRUG,DRUG
J0205,Administered Drugs & Immunizations,,DRUG,DRUG
J0207,Administered Drugs & Immunizations,,DRUG,DRUG
J0210,Administered Drugs & Immunizations,,DRUG,DRUG
J0215,Administered Drugs & Immunizations,,DRUG,DRUG
J0220,Administered Drugs & Immunizations,,DRUG,DRUG
J0221,Administered Drugs & Immunizations,,DRUG,DRUG
J0230,Administered Drugs & Immunizations,,DRUG,DRUG
J0256,Administered Drugs & Immunizations,,DRUG,DRUG
J0257,Administered Drugs & Immunizations,,DRUG,DRUG
J0270,Administered Drugs & Immunizations,,DRUG,DRUG
J0275,Administered Drugs & Immunizations,,DRUG,DRUG
J0278,Administered Drugs & Immunizations,,DRUG,DRUG
J0280,Administered Drugs & Immunizations,,DRUG,DRUG
J0282,Administered Drugs & Immunizations,,DRUG,DRUG
J0285,Administered Drugs & Immunizations,,DRUG,DRUG
J0286,Administered Drugs & Immunizations,,DRUG,DRUG
J0287,Administered Drugs & Immunizations,,DRUG,DRUG
J0288,Administered Drugs & Immunizations,,DRUG,DRUG
J0289,Administered Drugs & Immunizations,,DRUG,DRUG
J0290,Administered Drugs & Immunizations,,DRUG,DRUG
J0295,Administered Drugs & Immunizations,,DRUG,DRUG
J0300,Administered Drugs & Immunizations,,DRUG,DRUG
J0330,Administered Drugs & Immunizations,,DRUG,DRUG
J0340,Administered Drugs & Immunizations,,DRUG,DRUG
J0348,Administered Drugs & Immunizations,,DRUG,DRUG
J0350,Administered Drugs & Immunizations,,DRUG,DRUG
J0360,Administered Drugs & Immunizations,,DRUG,DRUG
J0364,Administered Drugs & Immunizations,,DRUG,DRUG
J0365,Administered Drugs & Immunizations,,DRUG,DRUG
J0380,Administered Drugs & Immunizations,,DRUG,DRUG
J0390,Administered Drugs & Immunizations,,DRUG,DRUG
J0395,Administered Drugs & Immunizations,,DRUG,DRUG
J0400,Administered Drugs & Immunizations,,DRUG,DRUG
J0401,Administered Drugs & Immunizations,,DRUG,DRUG
J0456,Administered Drugs & Immunizations,,DRUG,DRUG
J0460,Administered Drugs & Immunizations,,DRUG,DRUG
J0461,Administered Drugs & Immunizations,,DRUG,DRUG
J0470,Administered Drugs & Immunizations,,DRUG,DRUG
J0475,Administered Drugs & Immunizations,,DRUG,DRUG
J0476,Administered Drugs & Immunizations,,DRUG,DRUG
J0480,Administered Drugs & Immunizations,,DRUG,DRUG
J0485,Administered Drugs & Immunizations,,DRUG,DRUG
J0490,Administered Drugs & Immunizations,,DRUG,DRUG
J0500,Administered Drugs & Immunizations,,DRUG,DRUG
J0515,Administered Drugs & Immunizations,,DRUG,DRUG
J0520,Administered Drugs & Immunizations,,DRUG,DRUG
J0540,Administered Drugs & Immunizations,,DRUG,DRUG
J0558,Administered Drugs & Immunizations,,DRUG,DRUG
J0559,Administered Drugs & Immunizations,,DRUG,DRUG
J0561,Administered Drugs & Immunizations,,DRUG,DRUG
J0565,Administered Drugs & Immunizations,,DRUG,DRUG
J0570,Administered Drugs & Immunizations,,DRUG,DRUG
J0571,Administered Drugs & Immunizations,,DRUG,DRUG
J0572,Administered Drugs & Immunizations,,DRUG,DRUG
J0573,Administered Drugs & Immunizations,,DRUG,DRUG
J0574,Administered Drugs & Immunizations,,DRUG,DRUG
J0575,Administered Drugs & Immunizations,,DRUG,DRUG
J0580,Administered Drugs & Immunizations,,DRUG,DRUG
J0583,Administered Drugs & Immunizations,,DRUG,DRUG
J0585,Administered Drugs & Immunizations,,DRUG,DRUG
J0586,Administered Drugs & Immunizations,,DRUG,DRUG
J0587,Administered Drugs & Immunizations,,DRUG,DRUG
J0588,Administered Drugs & Immunizations,,DRUG,DRUG
J0592,Administered Drugs & Immunizations,,DRUG,DRUG
J0594,Administered Drugs & Immunizations,,DRUG,DRUG
J0595,Administered Drugs & Immunizations,,DRUG,DRUG
J0596,Administered Drugs & Immunizations,,DRUG,DRUG
J0597,Administered Drugs & Immunizations,,DRUG,DRUG
J0598,Administered Drugs & Immunizations,,DRUG,DRUG
J0600,Administered Drugs & Immunizations,,DRUG,DRUG
J0606,Administered Drugs & Immunizations,,DRUG,DRUG
J0610,Administered Drugs & Immunizations,,DRUG,DRUG
J0620,Administered Drugs & Immunizations,,DRUG,DRUG
J0630,Administered Drugs & Immunizations,,DRUG,DRUG
J0636,Administered Drugs & Immunizations,,DRUG,DRUG
J0637,Administered Drugs & Immunizations,,DRUG,DRUG
J0638,Administered Drugs & Immunizations,,DRUG,DRUG
J0640,Administered Drugs & Immunizations,,DRUG,DRUG
J0641,Administered Drugs & Immunizations,,DRUG,DRUG
J0670,Administered Drugs & Immunizations,,DRUG,DRUG
J0680,Administered Drugs & Immunizations,,DRUG,DRUG
J0690,Administered Drugs & Immunizations,,DRUG,DRUG
J0692,Administered Drugs & Immunizations,,DRUG,DRUG
J0694,Administered Drugs & Immunizations,,DRUG,DRUG
J0695,Administered Drugs & Immunizations,,DRUG,DRUG
J0696,Administered Drugs & Immunizations,,DRUG,DRUG
J0697,Administered Drugs & Immunizations,,DRUG,DRUG
J0698,Administered Drugs & Immunizations,,DRUG,DRUG
J0700,Administered Drugs & Immunizations,,DRUG,DRUG
J0702,Administered Drugs & Immunizations,,DRUG,DRUG
J0704,Administered Drugs & Immunizations,,DRUG,DRUG
J0706,Administered Drugs & Immunizations,,DRUG,DRUG
J0710,Administered Drugs & Immunizations,,DRUG,DRUG
J0712,Administered Drugs & Immunizations,,DRUG,DRUG
J0713,Administered Drugs & Immunizations,,DRUG,DRUG
J0714,Administered Drugs & Immunizations,,DRUG,DRUG
J0715,Administered Drugs & Immunizations,,DRUG,DRUG
J0716,Administered Drugs & Immunizations,,DRUG,DRUG
J0717,Administered Drugs & Immunizations,,DRUG,DRUG
J0718,Administered Drugs & Immunizations,,DRUG,DRUG
J0720,Administered Drugs & Immunizations,,DRUG,DRUG
J0725,Administered Drugs & Immunizations,,DRUG,DRUG
J0730,Administered Drugs & Immunizations,,DRUG,DRUG
J0735,Administered Drugs & Immunizations,,DRUG,DRUG
J0740,Administered Drugs & Immunizations,,DRUG,DRUG
J0743,Administered Drugs & Immunizations,,DRUG,DRUG
J0744,Administered Drugs & Immunizations,,DRUG,DRUG
J0745,Administered Drugs & Immunizations,,DRUG,DRUG
J0760,Administered Drugs & Immunizations,,DRUG,DRUG
J0770,Administered Drugs & Immunizations,,DRUG,DRUG
J0775,Administered Drugs & Immunizations,,DRUG,DRUG
J0780,Administered Drugs & Immunizations,,DRUG,DRUG
J0795,Administered Drugs & Immunizations,,DRUG,DRUG
J0800,Administered Drugs & Immunizations,,DRUG,DRUG
J0833,Administered Drugs & Immunizations,,DRUG,DRUG
J0834,Administered Drugs & Immunizations,,DRUG,DRUG
J0835,Administered Drugs & Immunizations,,DRUG,DRUG
J0840,Administered Drugs & Immunizations,,DRUG,DRUG
J0850,Administered Drugs & Immunizations,,DRUG,DRUG
J0875,Administered Drugs & Immunizations,,DRUG,DRUG
J0878,Administered Drugs & Immunizations,,DRUG,DRUG
J0881,Administered Drugs & Immunizations,,DRUG,DRUG
J0882,Administered Drugs & Immunizations,,DRUG,DRUG
J0883,Administered Drugs & Immunizations,,DRUG,DRUG
J0884,Administered Drugs & Immunizations,,DRUG,DRUG
J0885,Administered Drugs & Immunizations,,DRUG,DRUG
J0886,Administered Drugs & Immunizations,,DRUG,DRUG
J0887,Administered Drugs & Immunizations,,DRUG,DRUG
J0888,Administered Drugs & Immunizations,,DRUG,DRUG
J0890,Administered Drugs & Immunizations,,DRUG,DRUG
J0894,Administered Drugs & Immunizations,,DRUG,DRUG
J0895,Administered Drugs & Immunizations,,DRUG,DRUG
J0897,Administered Drugs & Immunizations,,DRUG,DRUG
J0900,Administered Drugs & Immunizations,,DRUG,DRUG
J0945,Administered Drugs & Immunizations,,DRUG,DRUG
J0969,Administered Drugs & Immunizations,,DRUG,DRUG
J0970,Administered Drugs & Immunizations,,DRUG,DRUG
J1000,Administered Drugs & Immunizations,,DRUG,DRUG
J1020,Administered Drugs & Immunizations,,DRUG,DRUG
J1030,Administered Drugs & Immunizations,,DRUG,DRUG
J1040,Administered Drugs & Immunizations,,DRUG,DRUG
J1050,Administered Drugs & Immunizations,,DRUG,DRUG
J1051,Administered Drugs & Immunizations,,DRUG,DRUG
J1055,Administered Drugs & Immunizations,,DRUG,DRUG
J1060,Administered Drugs & Immunizations,,DRUG,DRUG
J1070,Administered Drugs & Immunizations,,DRUG,DRUG
J1071,Administered Drugs & Immunizations,,DRUG,DRUG
J1080,Administered Drugs & Immunizations,,DRUG,DRUG
J1090,Administered Drugs & Immunizations,,DRUG,DRUG
J1094,Administered Drugs & Immunizations,,DRUG,DRUG
J1100,Administered Drugs & Immunizations,,DRUG,DRUG
J1110,Administered Drugs & Immunizations,,DRUG,DRUG
J1120,Administered Drugs & Immunizations,,DRUG,DRUG
J1130,Administered Drugs & Immunizations,,DRUG,DRUG
J1160,Administered Drugs & Immunizations,,DRUG,DRUG
J1162,Administered Drugs & Immunizations,,DRUG,DRUG
J1165,Administered Drugs & Immunizations,,DRUG,DRUG
J1170,Administered Drugs & Immunizations,,DRUG,DRUG
J1180,Administered Drugs & Immunizations,,DRUG,DRUG
J1185,Administered Drugs & Immunizations,,DRUG,DRUG
J1190,Administered Drugs & Immunizations,,DRUG,DRUG
J1200,Administered Drugs & Immunizations,,DRUG,DRUG
J1205,Administered Drugs & Immunizations,,DRUG,DRUG
J1212,Administered Drugs & Immunizations,,DRUG,DRUG
J1230,Administered Drugs & Immunizations,,DRUG,DRUG
J1240,Administered Drugs & Immunizations,,DRUG,DRUG
J1245,Administered Drugs & Immunizations,,DRUG,DRUG
J1250,Administered Drugs & Immunizations,,DRUG,DRUG
J1260,Administered Drugs & Immunizations,,DRUG,DRUG
J1265,Administered Drugs & Immunizations,,DRUG,DRUG
J1267,Administered Drugs & Immunizations,,DRUG,DRUG
J1270,Administered Drugs & Immunizations,,DRUG,DRUG
J1285,Administered Drugs & Immunizations,,DRUG,DRUG
J1290,Administered Drugs & Immunizations,,DRUG,DRUG
J1300,Administered Drugs & Immunizations,,DRUG,DRUG
J1320,Administered Drugs & Immunizations,,DRUG,DRUG
J1322,Administered Drugs & Immunizations,,DRUG,DRUG
J1324,Administered Drugs & Immunizations,,DRUG,DRUG
J1325,Administered Drugs & Immunizations,,DRUG,DRUG
J1327,Administered Drugs & Immunizations,,DRUG,DRUG
J1330,Administered Drugs & Immunizations,,DRUG,DRUG
J1335,Administered Drugs & Immunizations,,DRUG,DRUG
